|比亞迪,奇瑞,吉利,裕隆,賓士|||car,green,公司|
|軟體,software|||software|
|phone,電話|||phone,消費性|
|行動,mobile|||mobile|
|手機,cell[\s]*phone,mobile phone,handset,行動門號|||mobile,phone,消費性|
|Nokia,諾基亞,Sony Ericsson,宏達電,\bHTC\b,三星,Samsung,\bLG\b,MOTO,\bPalm\b|代[線廠]||mobile,phone,公司|
|智慧,smart,智能|智慧財產,智慧產權||smart|
|智慧財產,智慧產權,智財,Intellectual propert|||IP|
|\bSoC\b,System on Chip,System-on-Chip,\bARM\b,\bMIPS\b,智原,創意電,新思科技,Synopsys|||IP,SoC,IC,design,半導體|
|白牌,white[-\s]box|||白牌|
|\bPDA\b,ＰＤＡ,個人數位助理,\bPalm\b|||PDA|
|相機,DSC,camera,畫素手機,照相|||DSC|
|DRAM,ＤＲＡＭ,dynamic RAM,集邦|||DRAM,memory,半導體|
|\bFlash\b,快閃記憶,\bNAND\b,\bNOR\b|Flash軟體,Adobe,Nortel||Flash,NVM,memory,半導體,storage|
|\bFRAM\b,相變化記憶|||NVM,memory,半導體|
|記憶,memory|||memory|
|SSD,ＳＳＤ,solid[-\s]state disk|||SSD,IT,Flash,NVM,半導體,storage|
|創見,Transcend,威剛,A.?DATA,金士頓,Kingston,\bPQI\b,\bPRETEC\b,Kingmax|||memory,module,公司|
|SDHC,SD.*卡,SD.*card,Compact Flash,T-*Flash,Memory Stick,MMC,\bxD\b|||Flash,NVM,半導體,storage|
|色情,情趣,內衣|||不宜|
|碟,storage,儲存,\bNAS\b,Network[-\s]attached storage,\bSAN\b,\bRAID\b,Storage Area Network|色情||storage|
|群暉,Synology,威聯通,\bQNAP\b,宏普科技,喬鼎資訊|||storage,公司|
|硬碟,HDD,hard disk|HDTV,Full HD,監控,HD DVR,HD PVR,HD IPTV,HD.*影||HDD,IT,storage|
|遊戲,電玩,game,Online,多人連線,開.*伺服器,SQUARE ENIX|||game|
|\bPSP\b,\bPS3\b,\bPS2\b,任天堂,\bWii\b,Xbox|||game|
|\bkHz\b,\bMHz\b,\bGHz\b,\bTHz\b|||freq|
|無線,wireless|||wireless|
|RFID,ＲＦＩＤ,無線辨識|||RFID,vertical,SCM,retailing,logistics,wireless|
|ISO 18000,ＩＳＯ 18000,ＩＳＯ １８０００,EPC[-\s]*global|||RFID,vertical,SCM,retailing,logistics,wireless,standard|
|NFC,ＮＦＣ,near-field communication|Football||NFC,RFID,wireless|
|bar code,barcode,條碼|||barcode,vertical,SCM,retailing,logistics,wireless|
|藍牙,藍芽,bluetooth|||bluetooth,RF,wireless|
|WLAN,無線區域網路,wireless LAN,WiFi,Wi-Fi|||WLAN,RF,wireless|
|\bPHS\b,\bＰＨＳ\b|||phone,wireless|
|\b2G\b,第二代行動通訊,第2代行動通訊,2.5G,2.5Ｇ,\bGSM\b,\bＧＳＭ\b,GPRS,ＧＰＲＳ|2GB||phone,2G,wireless|
|\b3G\b,第三代行動通訊,第3代行動通訊,3.5G,3.5Ｇ,HSPA,HSDPA,ＨＳＤＰＡ,HSUPA,WCDMA,TD-SCDMA|3GB||phone,3G,wireless|
|WiMAX|||WiMAX,4G,wireless|
|\b4G\b,\bLTE\b|4GB||phone,4G,wireless|
|前端產品,front[-\s]end,\bRF\b,射頻,Radio Freq,調諧器,tuner,power amplifier,\bLNA\b,low noise amp,微波|||RF,front_end,wireless|
|矽調諧器,silicon tuner,\bMMIC\b|||IC,design,RF,front_end,wireless|
|感應器,感測,感應裝置,sensor|||sensor|
|MEMS,ＭＥＭＳ,micro machine|||MEMS|
|代工,OEM,ＯＥＭ|晶圓代工||OEM|
|IDM,ＩＤＭ|||IDM|
|晶圓代工,晶圓廠,foundry,foundries|||foundry,半導體|
|TSMC,台積電,UMC,聯電,世界先進,\bVIS\b,Vanguard.*Semiconductor,GSMC,中芯,特許半導體,Chartered Semiconductor,晶圓雙傑,晶圓雙雄,\bSMIC\b|精聯電||foundry,半導體,公司|
|茂德,ProMos,力晶,PowerChip,南亞科,Nanya,華亞科,Inotera memories,瑞晶,Rexchip,華邦,winbond|||DRAM,memory,半導體,公司,Taiwan|
|Micron,美光,Elpita,爾必達,Hynix,海力士|||DRAM,memory,半導體,公司,non-Taiwan|
|友達,AUO,AU Optronic,奇美,CMO,Chi Mei Opto,華映,CPT,彩晶,HannStar,元太,Prime View,PVI,Hydis|CMOS||FPD,公司,Taiwan|
|\bLGD\b,LG Display,Samsung Electronic|||FPD,公司,Korea|
|旺宏,Macronix,MXIC,Spansion,Numonyx|||NVM,半導體,公司|
|京東方,上廣電,上海廣電,龍騰光電,天馬,深超,彩虹張家港,\bBOE\b,IVO,SVA-NEC,Tianma,Truly,Jilin,LaiBow,Rainbow|bank||FPD,公司,China|
|庫存,存貨,備貨,備料,inventory,inventories|||inventory,financial|
|B/B,B／B,Ｂ／Ｂ,BB值,訂單出貨比,BB ratio,book to bill,book-to-bill|||BB,ratio|
|資本支出,Capex,IT支出,ICT支出,設備支出,設備投資,通訊支出,capital expenditure,capital investment|||Capex|
|產能利用率,產利率,稼動率,利用率,utili[sz]ation|CPU||utilization,ratio|
|製程,process,貼合技術,蝕刻,沈積,etching,清洗系統|||process|
|微影,Litho,浸潤式,雙重曝光,雙圖樣,EUV,e-beam|||process,litho|
|ASML,Canon,Nikon,Mapper|||process,litho,公司|
|量產,mass produc,volume shipment|||量產|
|良率,yield|maturity,利率,dividend,bond,curve||yield,ratio|
|出貨,銷售量,銷量,銷.*台,減產.*噸,增產.*噸,減產.*斤,增產.*斤,減產.*台,增產.*台,shipment,shipp.*sample|台大,銷台股||shipment|
|產能,capacity,增.*生產線,置第.*條.*線,產線.*狀況,start.*installation|容量,channel capacity,capacitor||capacity|
|市佔,市占,市場佔有率,出貨量佔有率,佔.*市場,滲透率,普及率,比例,比率,比重,排第,商排名,佔.*過,佔全球,全球.*哥,1成,2成,3成,4成,5成,6成,7成,8成,9成,一成,二成,兩成,三成,四成,五成,六成,七成,八成,九成,market share,share,% of.*market|增.*成,成長.*成,漲.*成,彈.*成,降.*成,跌.*成,減.*成,挫.*成,衰.*成,摔.*成,per share,產能利用率.*成,稼動率.*成||share,ratio|
